"ASX code","Company name","GICs industry group","Listing date","Market Cap"
"AEV","AVENIRA LIMITED","Materials","10/10/2006",24220101
"AFA","ASF GROUP LIMITED","Financial Services","29/05/1985",52298237
"AFG","AUSTRALIAN FINANCE GROUP LTD","Financial Services","22/05/2015",498626586
"AFI","AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED","Not Applic","30/06/1962",8955317000
"AFL","AF LEGAL GROUP LTD","Commercial & Professional Services","19/09/2003",15712284
"AFP","AFT PHARMACEUTICALS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","22/12/2015",354447959
"AFW","APPLYFLOW LIMITED","Media & Entertainment","30/11/2010",2218210
"AGC","AUSTRALIAN GOLD AND COPPER LTD","Materials","20/01/2021",5200000
"AGD","AUSTRAL GOLD LIMITED","Materials","18/04/1997",20206275
"AGE","ALLIGATOR ENERGY LIMITED","Energy","03/02/2011",115707163
"AGH","ALTHEA GROUP HOLDINGS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","21/09/2018",17034255
"AGI","AINSWORTH GAME TECHNOLOGY LIMITED","Consumer Services","17/12/2001",363737443
"AGL","AGL ENERGY LIMITED.","Utilities","12/10/2006",8261336021
"AGN","ARGENICA THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","11/06/2021",39340329
"AGR","AGUIA RESOURCES LIMITED","Materials","13/02/2008",7809377
"AGY","ARGOSY MINERALS LIMITED","Materials","03/04/1997",449410399
"AHC","AUSTCO HEALTHCARE LIMITED","Health Care Equipment & Services","24/09/2004",49434328
"AHF","AUSTRALIAN DAIRY NUTRITIONALS LIMITED","Food, Beverage & Tobacco","30/06/2006",13773203
"AHI","ADVANCED HEALTH INTELLIGENCE LTD","Software & Services","17/08/2015",37009675
"AHK","ARK MINES LIMITED","Materials","09/05/2011",13787593
"AHL","ADRAD HOLDINGS LIMITED","Automobiles & Components","30/09/2022",74201206
"AHN","ATHENA RESOURCES LIMITED","Materials","22/11/2006",6422805
